name,fname,lname,email,phone,position,address,city,country,linkedin,activity
Dominique Maurice Olympio MENDY,Dominique,Maurice Olympio MENDY,,,Founder CEO Consultant IT,,,Morocco,,"Technology | Networking & Infrastructure | Media, Marketing & Advertising Tech"
Anas Raissi,Anas,Raissi,,,CEO & Consultant,,,Morocco,,Technology | Software Services | AR/VR/MR & Gaming
Aboubakr Alaoui Meterajji,Aboubakr,Alaoui Meterajji,,,Consultant,,,Morocco,,"Technology | Sustainability & Green Climate - Tech | Space Tech | Smart Cities | Quantum & High Performance Computing | AR/VR/MR & Gaming | Internet of Things (IOT) | Cyber security | Creative Economy | Consumer Tech, Smart Home & Smart Workplace | Artificial Intelligence | 5G & Telecommunications"
Saloua Karkri,Saloua,Karkri,,,CEO,,,Morocco,,Incubator/Accelerator/Investment | Technology | Sustainability & Green Climate - Tech | Artificial Intelligence
Zakaria El Masbahi,Zakaria,El Masbahi,,,CEO,,,Morocco,,"Incubator/Accelerator/Investment | Unmanned Aerial Vehicles | Technology | Sustainability & Green Climate - Tech | Space Tech | Software Services | Smart Manufacturing | Smart Cities | Retail Tech | Regulatory Technology | Quantum & High Performance Computing | PropTech | Networking & Infrastructure | Mobile Accessories & Peripherals | AR/VR/MR & Gaming | Media, Marketing & Advertising Tech | Internet of Things (IOT) | HealthTech | Gaming | Future Mobility & Transportation | Energy Tech | Education Tech | Ecommerce | Digital Finance | Data Centres | Cyber security | Creative Economy | Consumer Tech, Smart Home & Smart Workplace | Cloud Services | Blockchain | Big Data & Analytics | Artificial Intelligence | AgriTech & FoodTech | 5G & Telecommunications | 3D Printing & Printing Services"
Jaouad semlali,Jaouad,semlali,,,Ceo,,,Morocco,,"Incubator/Accelerator/Investment | Unmanned Aerial Vehicles | Technology | Sustainability & Green Climate - Tech | Space Tech | Software Services | Smart Manufacturing | Smart Cities | Retail Tech | Regulatory Technology | Quantum & High Performance Computing | PropTech | Networking & Infrastructure | Mobile Accessories & Peripherals | AR/VR/MR & Gaming | Media, Marketing & Advertising Tech | Internet of Things (IOT) | HealthTech | Gaming | Future Mobility & Transportation | Energy Tech | Education Tech | Ecommerce | Digital Finance | Data Centres | Cyber security | Creative Economy | Consumer Tech, Smart Home & Smart Workplace | Cloud Services | Blockchain | Big Data & Analytics | Artificial Intelligence | AgriTech & FoodTech | 5G & Telecommunications | 3D Printing & Printing Services"
Aymane Hitmi,Aymane,Hitmi,,,Ceo,,,Morocco,,"Incubator/Accelerator/Investment | Technology | Sustainability & Green Climate - Tech | Space Tech | Software Services | PropTech | Networking & Infrastructure | AR/VR/MR & Gaming | Media, Marketing & Advertising Tech | Internet of Things (IOT) | Gaming | Future Mobility & Transportation | Education Tech | Ecommerce | Digital Finance | Data Centres | Cyber security | Consumer Tech, Smart Home & Smart Workplace | Blockchain | Big Data & Analytics | Artificial Intelligence"
Said MORCHID,Said,MORCHID,,,CEO,,,Morocco,,"Incubator/Accelerator/Investment | Technology | Sustainability & Green Climate - Tech | Space Tech | Software Services | Smart Manufacturing | Smart Cities | Retail Tech | Quantum & High Performance Computing | Networking & Infrastructure | Mobile Accessories & Peripherals | AR/VR/MR & Gaming | Media, Marketing & Advertising Tech | Internet of Things (IOT) | Gaming | Future Mobility & Transportation | Energy Tech | Ecommerce | Digital Finance | Data Centres | Cyber security | Creative Economy | Consumer Tech, Smart Home & Smart Workplace | Cloud Services | Blockchain | Big Data & Analytics | Artificial Intelligence | AgriTech & FoodTech | 5G & Telecommunications | 3D Printing & Printing Services"
Chouaib Bentabet,Chouaib,Bentabet,,,CEO,,,Morocco,,"Incubator/Accelerator/Investment | Technology | Sustainability & Green Climate - Tech | Space Tech | Software Services | Smart Manufacturing | Smart Cities | Retail Tech | Regulatory Technology | Quantum & High Performance Computing | PropTech | Networking & Infrastructure | Mobile Accessories & Peripherals | AR/VR/MR & Gaming | Media, Marketing & Advertising Tech | Internet of Things (IOT) | HealthTech | Gaming | Future Mobility & Transportation | Energy Tech | Education Tech | Ecommerce | Digital Finance | Data Centres | Cyber security | Creative Economy | Consumer Tech, Smart Home & Smart Workplace | Cloud Services | Blockchain | Big Data & Analytics | Artificial Intelligence | AgriTech & FoodTech"
Anas Houdna,Anas,Houdna,,,CEO,,,Morocco,,Incubator/Accelerator/Investment | Technology | Software Services
